sex,age,female1,female2,female3,female4,female5,female6,female7,female8,female9,female10,female11,female12,female13,female14,female15,female16,female17,female18,female19,female20,male21,male22,male23,male24,male25,male26,male27,male28,male29,male30,male31,male32,male33,male34,male35,male36,male37,male38,male39,male40,sra
female,21.7,7,4,6,4,4,4,5,4,3,5,4,3,4,3,4,3,5,3,3,3,4,6,3,4,4,5,3,6,7,4,5,3,3,4,4,5,4,4,4,4,4
female,27.1,5,6,4,5,4,5,5,5,2,5,5,2,6,5,3,1,5,2,2,5,4,4,5,5,3,2,5,6,5,2,5,2,2,4,5,2,6,5,5,1,3
female,25.7,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,3,3,4,5,4,4,3,3,3,4,4,4,3,3,4,4,3,4,3,4,3,4,4,4,4,6
female,31.8,5,5,6,4,5,5,5,5,5,5,6,2,4,5,4,3,4,2,3,4,5,3,4,4,4,3,5,5,2,4,4,3,4,4,3,3,3,5,4,3,4
female,18.6,4,6,7,2,5,3,4,6,7,5,6,4,4,3,6,3,1,5,6,6,6,4,5,4,6,2,4,7,4,4,4,1,6,3,4,7,1,6,4,5,2
female,17.6,7,7,4,4,6,7,2,3,4,4,7,3,7,0,6,7,7,2,5,4,7,7,3,6,7,1,7,4,0,1,7,3,3,5,4,7,2,5,7,7,4
female,24.6,5,2,5,2,5,2,5,5,5,2,5,2,2,5,2,5,5,2,5,5,4,2,5,5,5,2,5,2,2,2,2,2,5,5,5,2,2,4,5,2,2
female,19.7,6,6,6,5,6,6,6,6,7,6,6,5,5,6,6,5,5,6,6,6,7,6,5,5,5,6,5,5,5,6,6,6,4,5,7,7,6,6,6,6,5
female,25.3,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,7,7,6,7,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6
female,20.4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,3,4,3,3,4,4,4,3,4,4,4,4,3,4,4,4,4
female,19.3,4,4,5,4,5,4,4,4,5,5,5,3,5,4,4,5,5,6,5,5,3,6,4,4,5,6,4,4,3,3,5,3,4,5,4,1,4,4,3,5,2
female,27.9,6,4,4,3,4,4,4,4,5,4,5,3,4,4,6,4,5,3,4,4,5,3,4,4,5,4,4,3,2,2,5,3,3,4,4,3,3,4,3,3,3
female,18.5,4,4,6,5,7,4,4,5,6,3,4,3,4,5,5,4,5,4,4,4,4,4,3,4,5,3,3,4,1,4,5,4,4,2,4,4,5,4,4,3,5
female,32.3,1,5,5,0,5,6,4,6,5,5,5,5,3,2,7,3,0,1,5,3,7,5,1,2,7,5,0,5,0,3,1,2,3,1,3,0,4,2,7,5,4
female,24.9,4,4,4,4,4,4,4,4,6,6,4,3,4,4,4,3,3,5,4,3,1,2,4,3,1,1,3,2,1,4,1,1,2,3,1,1,1,3,2,3,2
female,29.7,6,4,4,4,4,4,4,5,5,3,5,3,4,5,5,6,3,4,5,4,5,5,4,4,5,3,4,4,5,5,5,4,5,4,4,5,6,4,4,4,2
female,16.2,6,6,4,5,6,4,7,5,7,4,4,6,4,3,4,4,1,3,4,1,4,7,4,6,7,4,1,4,2,1,4,0,6,6,4,6,1,4,4,6,3
female,28.9,4,6,7,4,5,3,5,7,6,4,4,4,3,4,5,5,6,5,5,5,5,6,4,5,5,5,4,4,1,3,6,5,4,6,4,6,4,5,4,5,6
female,20.5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,4,4,2,3,3,4,2,3,4,2,3,4,4,3,3,4,5,4,5
female,24.2,6,5,4,5,5,4,5,4,6,5,5,5,3,5,6,5,2,6,4,5,6,4,6,4,5,1,2,3,0,1,5,3,3,2,4,3,1,5,2,3,2
female,19.0,4,5,5,4,6,6,5,5,6,6,6,5,5,5,5,5,4,4,4,4,5,5,3,4,5,4,3,4,4,4,4,5,3,4,4,4,4,5,5,4,5
female,21.0,4,5,5,4,5,4,4,4,5,4,5,3,4,4,5,4,4,5,4,4,4,6,5,3,3,4,3,4,2,4,4,2,3,3,4,3,1,6,4,5,6
female,25.6,6,5,6,2,6,6,5,6,6,5,6,3,6,6,6,3,6,6,6,5,6,6,4,5,1,1,5,6,1,6,5,1,3,4,4,2,2,6,1,5,2
female,23.6,6,6,6,6,5,6,5,4,6,6,6,3,6,4,5,6,5,2,6,4,6,1,4,4,6,6,6,2,4,5,5,3,3,3,6,4,6,4,4,6,5
female,33.6,4,4,5,4,4,4,4,4,6,6,4,3,4,4,4,4,4,4,3,4,5,3,4,4,5,3,4,3,2,3,3,3,3,3,4,1,3,6,4,4,6
female,27.1,4,4,5,4,4,4,5,4,4,5,5,4,6,4,5,4,4,4,5,4,4,4,3,4,2,4,3,4,3,3,4,4,1,4,3,4,2,3,3,5,5
female,40.6,4,4,4,4,6,4,4,4,4,4,4,4,4,7,4,4,3,3,4,4,3,4,4,3,4,3,4,4,5,4,4,4,4,5,4,3,5,4,4,4,5
female,24.8,4,4,4,6,6,4,4,6,5,4,4,2,4,5,6,6,3,4,4,4,4,3,3,3,3,3,3,4,4,4,3,3,4,5,4,6,3,3,4,4,4
female,17.7,6,4,5,5,6,5,4,3,6,4,5,6,5,5,6,6,0,1,3,5,2,1,7,3,2,3,3,5,1,3,4,2,1,3,3,2,3,6,4,5,2
female,32.0,3,6,5,6,3,6,3,6,5,3,6,2,6,6,5,4,3,3,6,5,5,2,3,4,6,4,4,4,5,3,2,1,2,3,3,3,2,6,5,3,6
female,26.0,6,5,6,6,5,5,5,4,5,5,5,5,5,5,5,4,6,5,6,5,4,5,4,4,5,5,4,5,5,5,5,4,4,4,4,2,4,5,4,3,5
female,25.2,4,4,6,4,4,4,4,5,5,6,5,3,4,5,5,4,5,6,4,4,4,4,5,3,4,4,5,5,2,3,4,3,2,2,4,3,2,4,5,2,6
